,episode,score,avg_score
943,943,14.0,14.63
944,944,12.0,14.57
945,945,15.0,14.72
946,946,13.0,14.72
947,947,10.0,14.68
948,948,20.0,14.84
949,949,20.0,14.9
950,950,12.0,14.88
951,951,11.0,14.95
952,952,16.0,14.94
953,953,15.0,14.98
954,954,10.0,14.93
955,955,15.0,14.91
956,956,18.0,14.97
957,957,3.0,14.79
958,958,0.0,14.68
959,959,9.0,14.58
960,960,15.0,14.63
961,961,16.0,14.62
962,962,14.0,14.63
963,963,16.0,14.72
964,964,20.0,14.74
965,965,14.0,14.66
966,966,20.0,14.73
967,967,12.0,14.72
968,968,12.0,14.66
969,969,17.0,14.76
970,970,11.0,14.85
971,971,12.0,14.81
972,972,21.0,14.84
973,973,12.0,14.83
974,974,17.0,14.85
975,975,13.0,14.84
976,976,15.0,14.84
977,977,21.0,14.89
978,978,13.0,14.9
979,979,19.0,14.92
980,980,6.0,14.77
981,981,19.0,14.8
982,982,16.0,14.8
983,983,20.0,14.86
984,984,5.0,14.76
985,985,9.0,14.65
986,986,3.0,14.57
987,987,15.0,14.54
988,988,13.0,14.45
989,989,19.0,14.47
990,990,13.0,14.42
991,991,15.0,14.54
992,992,6.0,14.46
993,993,13.0,14.44
994,994,3.0,14.3
995,995,18.0,14.3
996,996,4.0,14.17
997,997,15.0,14.14
998,998,20.0,14.18
999,999,6.0,14.08
1000,1000,21.0,14.12
1001,1001,14.0,14.1
1002,1002,12.0,14.18
1003,1003,16.0,14.16
1004,1004,17.0,14.12
1005,1005,14.0,14.05
1006,1006,17.0,14.18
1007,1007,14.0,14.16
1008,1008,19.0,14.15
1009,1009,10.0,14.1
1010,1010,15.0,14.22
1011,1011,18.0,14.28
1012,1012,9.0,14.19
1013,1013,16.0,14.14
1014,1014,12.0,14.13
1015,1015,16.0,14.16
1016,1016,14.0,14.17
1017,1017,16.0,14.14
1018,1018,12.0,14.09
1019,1019,10.0,14.05
1020,1020,17.0,14.01
1021,1021,19.0,14.1
1022,1022,11.0,14.01
1023,1023,17.0,13.99
1024,1024,13.0,13.97
1025,1025,14.0,13.93
1026,1026,17.0,13.97
1027,1027,18.0,13.98
1028,1028,16.0,13.98
1029,1029,13.0,13.99
1030,1030,18.0,14.0
1031,1031,15.0,13.97
1032,1032,13.0,13.97
1033,1033,13.0,13.94
1034,1034,14.0,14.05
1035,1035,8.0,14.01
1036,1036,17.0,14.03
1037,1037,14.0,14.03
1038,1038,21.0,14.09
1039,1039,17.0,14.15
1040,1040,14.0,14.07
1041,1041,15.0,14.06
1042,1042,12.0,13.99
1043,1043,19.0,14.04
1044,1044,18.0,14.1
1045,1045,6.0,14.01
1046,1046,16.0,14.04
1047,1047,14.0,14.08
1048,1048,17.0,14.05
1049,1049,17.0,14.02
1050,1050,14.0,14.04
1051,1051,15.0,14.08
1052,1052,20.0,14.12
1053,1053,15.0,14.12
1054,1054,8.0,14.1
1055,1055,13.0,14.08
1056,1056,1.0,13.91
1057,1057,16.0,14.04
1058,1058,10.0,14.14
1059,1059,14.0,14.19
1060,1060,17.0,14.21
1061,1061,16.0,14.21
1062,1062,15.0,14.22
1063,1063,14.0,14.2
1064,1064,13.0,14.13
1065,1065,3.0,14.02
1066,1066,9.0,13.91
1067,1067,3.0,13.82
